 Individ N           Genom                  X                F(x)
     1           11001110000000     3.218750000000     1.1277642403064
     2           11001110000010     3.219238281250     1.1276931665907
     3           11000000000010     3.000488281250     0.8713939293971
     4           11011000100001     3.383056640625     0.7960444807441
     5           10110110100001     2.851806640625     0.5563952578523
     6           10110100000101     2.813720703125     0.4765259829605
     7           10101011000100     2.672851562500     0.2146412840417
     8           10101010100000     2.664062500000     0.2006275484746
     9           10100100110000     2.574218750000     0.0760571242364
    10           10011100100111     2.447021484375     -0.0393513892579
    11           01011100100111     1.447021484375     -0.0616820229544
    12           01010110010100     1.348632812500     -0.2266373943353
    13           01010100100011     1.321044921875     -0.2857921897432
    14           01010100100010     1.320800781250     -0.2863424444540
    15           01010000100001     1.258056640625     -0.4439481906881
    16           01010000100000     1.257812500000     -0.4446261173509
    17           01010000000111     1.251708984375     -0.4617417978290
    18           01010000000101     1.251220703125     -0.4631250060361
    19           01001101010110     1.208496093750     -0.5923127432687
    20           01001010100000     1.164062500000     -0.7443410938057
    21           01001000100001     1.133056640625     -0.8615514193160
    22           01001000100000     1.132812500000     -0.8625115454584
    23           01001000010011     1.129638671875     -0.8750466846635
    24           00110110110000     0.855468750000     -2.3648070805316
    25           00110110101101     0.854736328125     -2.3699455011775
    26           11101100010000     3.691406250000     -3.0655622867509
    27           00110000100111     0.759521484375     -3.0951445600586
    28           00010100001111     0.316162109375     -8.1239538488882
    29           00001000010001     0.129150390625     -11.1553819950075
    30           11111100101010     3.947753906250     -13.3360943974973

 Best value: 
 X = 0
 F(x) = 0


